Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost (₺),Discounts (₺),Promotions & others (₺),Unrounded subtotal (₺),Subtotal (₺),Percent change in subtotal compared to previous period
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Zurich (europe-west6),1D71-8CF2-1494,0.138,gibibyte,0.06,0.00,-0.06,0.000000,0.00,0%
Networking,E505-1604-58F8,Networking Cloud Armor Policy,4B13-E64F-4A2B,0.375,month,73.33,0.00,-73.33,0.000000,0.00,0%
Networking,E505-1604-58F8,Networking Service Directory Integrated Resource,50F4-D7E5-3682,0.227,month,0.00,0.00,0.00,0.000000,0.00,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Zurich (europe-west6),5275-C7DF-707B,0.016,gibibyte,0.01,0.00,-0.01,0.000000,0.00,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Outbound Data Processing for Frankfurt (europe-west3),60B5-0FFC-DFA0,0.015,gibibyte,0.01,0.00,-0.01,0.000000,0.00,0%
Networking,E505-1604-58F8,Networking Private Service Connect Partner Select End Point,6882-BFB0-B7E5,38.602,hour,15.08,-15.08,0.00,0.000000,0.00,0%
Networking,E505-1604-58F8,Network Intelligence Center Network Analyzer Resource Hours,9BF8-CD36-F9B8,123,count,5.29,-5.29,0.00,0.000000,0.00,0%
Networking,E505-1604-58F8,Networking Cloud Armor Rule,A321-89BD-F5BC,0.751,month,29.33,0.00,-29.33,0.000000,0.00,0%
Networking,E505-1604-58F8,Global External Application Load Balancer Inbound Data Processing for Frankfurt (europe-west3),A7C2-BF54-1B4B,0,gibibyte,0.00,0.00,-0.00,0.000000,0.00,0%
Networking,E505-1604-58F8,Network Intelligence Center Internet to Google Cloud Performance Resource Hours,BDBA-22FA-3925,123,count,3.85,-3.85,0.00,0.000000,0.00,0%
Networking,E505-1604-58F8,Network Intelligence Center Topology and Google Cloud Performance Resource Hours,D9AD-28F8-05D8,123,count,5.29,-5.29,0.00,0.000000,0.00,0%
Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Minimum Global,DEE3-C42E-3E4D,39.356,hour,38.45,0.00,-38.45,0.000000,0.00,0%
Secret Manager,EE82-7A5E-871C,Secret version replica storage,7756-ADEF-84F4,0.054,month,0.00,0.00,0.00,0.000000,0.00,0%
,,,,,,,,Subtotal,0.000000,0.00
,,,,,,,,Tax,0.000000,0.00
,,,,,,,,Total,0.000000,0.00
